type	timestamp	epoch	step	train_accuracy	predict_labels	actual_labels
train	20200410123354	0	1	0.375	[1 1 1 1 1 1 1 1]	[2 2 1 1 2 2 1 2]
train	20200410123405	0	2	0.4375	[1 2 1 1 2 1 2 1]	[0 2 0 0 2 1 2 0]
train	20200410123417	0	3	0.5	[1 1 1 2 2 0 1 2]	[1 0 1 2 2 1 0 2]
train	20200410123428	0	4	0.53125	[0 0 2 2 2 1 1 2]	[1 1 2 2 2 0 1 2]
train	20200410123438	0	5	0.6	[0 2 2 0 0 0 0 2]	[0 2 2 0 0 1 0 2]
train	20200410123448	0	6	0.625	[2 0 0 0 0 2 2 1]	[2 1 0 0 0 2 2 2]
train	20200410123459	0	7	0.6785714	[2 0 2 0 2 0 0 2]	[2 0 2 0 2 0 0 2]
train	20200410123509	0	8	0.6875	[0 2 2 2 0 2 1 2]	[0 2 2 2 1 2 2 2]
train	20200410123520	0	9	0.6805556	[2 2 0 0 0 2 0 0]	[2 2 1 0 0 2 1 1]
train	20200410123531	0	10	0.675	[2 1 2 2 2 1 1 2]	[2 0 2 2 2 0 2 2]
train	20200410123542	0	11	0.70454544	[0 2 2 2 0 2 1 1]	[0 2 2 2 0 2 1 1]
train	20200410123553	0	12	0.7083333	[0 0 2 1 0 2 2 1]	[0 0 2 0 0 2 2 0]
train	20200410123605	0	13	0.72115386	[2 2 0 2 1 2 2 2]	[2 2 1 2 1 2 2 2]
train	20200410123616	0	14	0.70535713	[0 0 0 2 1 1 2 2]	[1 1 0 1 1 1 2 1]
train	20200410123627	0	15	0.725	[0 2 2 2 0 2 2 1]	[0 2 2 2 0 2 2 1]
train	20200410123637	0	16	0.734375	[0 2 2 0 2 0 2 2]	[1 2 2 0 2 0 2 2]
train	20200410123648	0	17	0.75	[0 0 2 0 2 1 2 2]	[0 0 2 0 2 1 2 2]
train	20200410123658	0	18	0.7638889	[2 0 2 2 0 0 2 0]	[2 0 2 2 0 0 2 0]
train	20200410123708	0	19	0.7763158	[2 1 1 0 2 0 2 2]	[2 1 1 0 2 0 2 2]
train	20200410123719	0	20	0.78125	[0 2 0 2 0 1 2 2]	[1 2 0 2 0 1 2 2]
train	20200410123729	0	21	0.7797619	[1 2 1 2 2 2 2 2]	[0 2 0 2 2 2 2 2]
train	20200410123739	0	22	0.78409094	[2 2 0 0 1 2 0 1]	[2 2 0 0 1 2 0 0]
train	20200410123750	0	23	0.79347825	[2 1 1 0 0 2 2 1]	[2 1 1 0 0 2 2 1]
train	20200410123800	0	24	0.78125	[1 2 1 0 2 0 1 2]	[1 1 1 1 2 1 1 1]
train	20200410123811	0	25	0.78	[2 1 0 2 1 1 1 0]	[2 1 0 1 0 1 1 0]
train	20200410123821	0	26	0.78846157	[2 2 0 2 0 0 2 2]	[2 2 0 2 0 0 2 2]
train	20200410123831	0	27	0.7962963	[1 0 2 0 1 0 2 1]	[1 0 2 0 1 0 2 1]
train	20200410123842	0	28	0.79464287	[0 0 0 1 2 0 2 2]	[0 0 0 1 1 0 1 2]
train	20200410123852	0	29	0.80172414	[1 0 1 1 0 2 0 0]	[1 0 1 1 0 2 0 0]
train	20200410123902	0	30	0.8041667	[1 0 2 0 1 2 2 0]	[1 0 2 1 1 2 2 0]
train	20200410123913	0	31	0.80241936	[2 0 2 2 2 2 0 0]	[2 1 2 2 2 2 0 1]
train	20200410123923	0	32	0.80859375	[1 1 1 1 1 2 2 0]	[1 1 1 1 1 2 2 0]
train	20200410123933	0	33	0.8068182	[2 1 0 2 2 0 1 0]	[2 1 1 2 2 1 1 0]
train	20200410123944	0	34	0.8125	[2 1 2 0 2 1 2 0]	[2 1 2 0 2 1 2 0]
train	20200410123955	0	35	0.8142857	[0 0 1 2 2 0 2 2]	[1 0 1 2 2 0 2 2]
train	20200410124005	0	36	0.8194444	[2 1 2 1 0 2 2 2]	[2 1 2 1 0 2 2 2]
train	20200410124016	0	37	0.8108108	[2 1 2 2 1 2 0 1]	[2 2 2 2 2 2 1 2]
train	20200410124026	0	38	0.8125	[2 2 2 1 1 1 1 2]	[2 2 2 1 1 0 1 2]
train	20200410124037	0	39	0.8108974	[2 1 2 1 2 1 2 2]	[2 0 2 0 2 1 2 2]
train	20200410124048	0	40	0.809375	[2 1 1 1 2 1 2 1]	[2 1 1 1 2 0 2 0]
train	20200410124058	0	41	0.80487806	[1 1 1 1 2 1 2 1]	[1 1 0 0 2 0 2 1]
train	20200410124109	0	42	0.8095238	[2 0 0 2 1 1 2 2]	[2 0 0 2 1 1 2 2]
train	20200410124119	0	43	0.81104654	[1 0 1 0 2 2 2 0]	[0 0 1 0 2 2 2 0]
train	20200410124129	0	44	0.8068182	[2 2 1 1 0 1 2 2]	[2 2 2 2 0 2 2 2]
train	20200410124140	0	45	0.8055556	[2 0 0 0 2 2 2 2]	[2 1 0 1 2 2 2 2]
train	20200410124150	0	46	0.80163044	[2 0 2 1 0 1 0 0]	[2 0 2 2 0 2 1 0]
train	20200410124200	0	47	0.8031915	[2 0 2 0 1 2 0 1]	[2 0 2 0 1 2 1 1]
train	20200410124211	0	48	0.8072917	[2 0 1 0 0 0 2 1]	[2 0 1 0 0 0 2 1]
train	20200410124222	0	49	0.81122446	[0 2 2 0 0 2 2 2]	[0 2 2 0 0 2 2 2]
train	20200410124232	0	50	0.8075	[0 0 2 2 2 0 0 0]	[0 1 2 2 2 1 1 0]
train	20200410124243	0	51	0.8088235	[0 2 2 2 0 0 2 0]	[0 2 2 2 1 0 2 0]
train	20200410124255	0	52	0.8125	[0 2 2 0 0 0 0 1]	[0 2 2 0 0 0 0 1]
train	20200410124307	0	53	0.8160377	[0 0 1 2 1 1 0 2]	[0 0 1 2 1 1 0 2]
train	20200410124318	0	54	0.8194444	[0 2 2 1 1 0 2 0]	[0 2 2 1 1 0 2 0]
train	20200410124330	0	55	0.82272726	[0 1 2 0 1 2 2 0]	[0 1 2 0 1 2 2 0]
train	20200410124341	0	56	0.82366073	[2 0 2 2 2 0 2 2]	[2 1 2 2 2 0 2 2]
train	20200410124354	0	57	0.8267544	[2 2 0 1 0 0 0 1]	[2 2 0 1 0 0 0 1]
train	20200410124403	0	58	0.8286334	[2 2 0 1 0]	[2 2 0 1 0]
train	20200410124538	1	1	0.875	[2 2 1 1 2 2 0 2]	[2 2 1 1 2 2 1 2]
train	20200410124550	1	2	0.9375	[0 2 0 0 2 1 2 0]	[0 2 0 0 2 1 2 0]
train	20200410124601	1	3	0.9583333	[1 0 1 2 2 1 0 2]	[1 0 1 2 2 1 0 2]
train	20200410124615	1	4	0.9375	[1 1 2 2 2 0 0 2]	[1 1 2 2 2 0 1 2]
